ID,SpellID,EquippedItemClass,EquippedItemInvTypes,EquippedItemSubclass
176388,16539,2,0,41105
176389,15949,2,0,32768
176390,15955,2,0,32768
176406,15944,2,0,256
176407,15945,2,0,256
176408,15946,2,0,256
176409,15947,2,0,4
176422,15772,2,0,256
176423,15773,2,0,32
176442,15439,4,128,30
176447,16001,2,0,65536
176458,14443,2,0,262156
176461,15926,2,0,32
176473,14295,2,0,262156
176480,15948,2,0,32768
176493,17171,2,0,262156
176498,15391,4,130,31
176510,15916,2,0,2
176512,15917,2,0,2
176514,15897,2,0,128
176518,15889,2,0,16
176521,15904,2,0,128
176528,15444,4,128,30
176540,16540,2,0,41105
176552,15590,2,0,8192
176579,15427,4,128,30
176588,15922,2,0,32
176594,17174,2,0,262156
176603,15502,2,0,173555
176607,15458,4,128,30
176610,15404,4,130,31
176616,15778,2,0,32768
176642,15888,2,0,16
176661,15583,2,0,173555
176667,15619,2,0,65536
176668,15620,2,0,262156
176675,15923,2,0,32
176676,15924,2,0,32
176677,15925,2,0,32
176688,15896,2,0,128
176689,15898,2,0,128
176702,16623,4,0,96
176707,15406,4,130,31
176712,15913,2,0,2
176713,15914,2,0,2
176729,15795,2,0,65536
176758,15581,2,0,173555
176768,15894,2,0,16
176775,15892,2,0,16
176776,15952,2,0,32768
176786,14847,2,0,173555
176795,15441,4,128,30
176803,16541,2,0,41105
176804,16542,2,0,41105
176808,15547,2,0,262156
176816,15927,2,0,32
176838,15389,4,130,31
176859,15446,4,128,30
176863,16723,2,0,262156
176882,16779,2,0,262156
176899,15762,2,0,16
176935,17348,2,0,173555
176939,16777,2,0,262156
176962,15763,2,0,128
176963,15895,2,0,16
176973,6085,2,0,524288
176985,23959,2,0,32768
177000,16044,2,0,173555
177002,16511,2,0,173555
177035,15937,2,0,256
177036,15938,2,0,256
177044,14873,2,0,173555
177081,16772,2,0,262156
177096,15939,2,0,256
177099,18819,2,0,173555
177109,15449,4,128,30
177125,15759,2,0,1
177153,15767,2,0,2
177162,16100,2,0,262156
177219,15764,2,0,128
177220,15883,2,0,1
177222,15941,2,0,256
177223,15942,2,0,256
177224,15899,2,0,128
177225,15900,2,0,128
177230,15774,2,0,32
177231,15775,2,0,32
177232,15943,2,0,256
177242,15887,2,0,16
177248,15765,2,0,128
177249,15766,2,0,2
177266,16341,2,0,173555
177276,15490,4,128,30
177284,15871,2,0,1
177291,15692,2,0,173555
177296,16572,2,0,262156
177301,16509,2,0,173555
177307,16356,2,0,173555
177314,16138,2,0,33219
177318,16362,2,0,173555
177332,15901,2,0,128
177333,15902,2,0,128
177334,15886,2,0,16
177340,15909,2,0,2
177355,15903,2,0,128
177363,16342,2,0,173555
177375,16145,2,0,173555
177404,16000,2,0,65536
177448,15607,2,0,65536
177480,17143,2,0,173555
177497,17347,2,0,173555
177498,17353,2,0,262156
177584,16756,2,0,262156
177611,16622,2,0,9264
177651,15912,2,0,2
177655,16496,2,0,262156
177672,15429,4,128,30
177717,16767,2,0,262156
177718,16856,2,0,173555
177835,15860,2,0,65536
177837,15881,2,0,1
177838,17281,2,0,173555
177842,15877,2,0,1
177844,16768,2,0,262156
177851,16339,2,0,173555
177865,16776,2,0,262156
177878,15873,2,0,1
177879,15874,2,0,1
177893,16302,2,0,173555
177894,15882,2,0,1
177895,16303,2,0,173555
177896,16304,2,0,173555
177897,16305,2,0,173555
177915,15875,2,0,1
177935,15879,2,0,1
177936,15880,2,0,1
177956,16255,2,0,173555
177980,17284,2,0,173555
178019,16775,2,0,262156
178043,16778,2,0,262156
178056,16355,2,0,173555
178072,16780,2,0,262156
178115,17198,2,0,173555
178180,17369,2,0,4
178440,17818,2,0,4
178466,18061,2,0,128
178592,17364,2,0,173555
178702,18545,2,0,262156
178738,18651,2,0,262156
178749,19384,2,0,173555
178808,19385,2,0,173555
178866,18248,2,0,1048576
178937,19383,2,0,173555
178966,19801,2,0,262156
178971,19386,2,0,262156
179183,23920,4,0,64
179184,23923,4,0,64
179302,20662,2,0,173555
179342,20595,2,0,8
179362,20016,4,0,64
179402,18848,2,0,173555
179437,19130,2,0,173555
179516,20010,4,512,30
179525,20118,2,0,173555
179543,20015,4,65536,30
179544,19508,2,0,262156
179545,19509,2,0,262156
179547,20119,2,0,173555
179612,19510,2,0,262156
179613,19511,2,0,262156
179667,18561,2,0,262156
179673,19434,2,0,262156
179695,18802,2,0,262156
179696,18649,2,0,262156
179702,19767,2,0,262156
179715,19381,2,0,173555
179823,19382,2,0,173555
179851,20017,4,0,64
179906,19503,2,0,262156
179961,20026,4,1048608,31
179963,20028,4,1048608,31
179969,19507,2,0,262156
179993,20113,2,0,354
179999,20035,2,0,1378
180005,20013,4,1024,31
180014,20036,2,0,1378
180057,20605,2,0,173555
180058,20607,2,0,1024
180064,19927,2,0,173555
180081,20029,2,0,189939
180134,19932,4,65536,30
180160,20597,2,0,384
180165,19777,2,0,173555
180180,20025,4,1048608,31
180197,20111,2,0,354
180198,20112,2,0,354
180245,19430,2,0,327692
180251,20008,4,512,30
180252,20009,4,512,30
180263,20012,4,1024,31
180265,19431,2,0,327692
180287,20023,4,256,30
180309,20014,4,65536,30
180352,19730,2,0,173555
180427,19426,2,0,327692
180433,20024,4,256,30
180460,19427,2,0,327692
180462,19429,2,0,327692
180475,19057,4,1050016,30
180481,20020,4,256,30
180483,20011,4,512,30
180507,20928,4,0,64
180516,20688,2,0,262156
180546,21553,2,0,173555
180559,20127,4,0,64
180582,20900,2,0,262156
180583,20902,2,0,262156
180584,20904,2,0,262156
180590,22105,4,1024,31
180611,20558,2,0,65536
180614,19785,2,0,65536
180666,20136,4,0,64
180667,20137,4,0,64
180722,20193,2,0,499
180723,20120,2,0,173555
180725,20574,2,0,3
180737,20033,2,0,189939
180757,20198,2,0,32913
180761,20030,2,0,1378
180773,20121,2,0,173555
180821,20031,2,0,189939
180843,19881,2,0,524288
180846,20243,2,0,41105
180861,20189,2,0,499
180864,20569,2,0,173555
180879,19781,2,0,65536
180908,20117,2,0,173555
180920,20684,2,0,173555
180940,20032,2,0,189939
180971,20196,2,0,32913
180972,20197,2,0,32913
181011,20736,2,0,262156
181028,20864,2,0,48
181050,22188,2,0,262144
181051,20130,4,0,64
181065,22101,4,256,30
181072,20034,2,0,189939
181088,22844,4,130,31
181115,22100,4,0,64
181179,22572,2,0,173555
181190,20735,2,0,262156
181191,22779,2,0,262156
181192,22780,2,0,262156
181218,20660,2,0,173555
181219,20463,2,0,262156
181255,22052,4,512,30
181256,22089,4,1048608,31
181280,20199,2,0,32913
181298,20200,2,0,41105
181310,22104,4,1024,31
181311,22106,4,1024,31
181418,20658,2,0,173555
181421,20661,2,0,173555
181426,20135,4,0,64
181444,21551,2,0,173555
181467,21552,2,0,173555
181484,22846,4,130,31
181486,20925,4,0,64
181513,22095,2,0,173555
181565,22054,4,512,30
181576,21390,2,0,262156
181587,22102,4,256,30
181593,20559,2,0,173555
181629,20666,2,0,173555
181684,22597,4,8,30
181685,22598,4,8,30
181725,20560,2,0,173555
181790,22051,4,512,30
181815,22750,2,0,58867
181853,22053,4,512,30
181908,22411,2,0,262156
181909,22591,2,0,173555
181911,22599,4,8,30
181918,20192,2,0,499
181929,22593,4,8,30
181950,22596,4,8,30
181967,23073,2,0,262156
181977,20927,4,0,64
181984,22840,4,130,31
182054,22121,2,0,262156
182101,20901,2,0,262156
182106,22091,4,65536,30
182107,22092,4,65536,30
182115,20903,2,0,262156
182135,22749,2,0,58867
182163,21931,2,0,196083
182178,22090,4,1048608,31
182289,22594,4,8,30
182311,22907,2,0,262156
182331,22914,2,0,262156
182333,24133,2,0,262156
182374,23799,2,0,58867
182375,23800,2,0,58867
182380,24362,2,0,8192
182381,24165,4,130,31
182414,23142,2,0,173555
182433,22098,4,0,64
182448,22099,4,0,64
182457,23801,4,512,30
182474,23143,2,0,42483
182511,23141,2,0,173555
182529,23144,2,0,42483
182538,23337,2,0,262156
182598,23804,2,0,58867
182615,22094,2,0,136546
182644,24132,2,0,262156
182657,22725,4,1050016,30
182685,22103,4,256,30
182702,23803,2,0,58867
182732,22811,2,0,262144
182792,22756,2,0,42483
182803,22887,2,0,65536
182847,22574,2,0,173555
182883,22908,2,0,262156
183002,25300,2,0,32768
183005,24302,2,0,1048576
183006,23960,2,0,173555
183023,24420,4,8,30
183078,24161,4,130,31
183116,24422,4,8,30
183127,23601,2,0,262156
183137,24049,2,0,65536
183142,23802,4,512,30
183226,24573,2,0,173555
183236,22859,2,0,173555
183248,24393,2,0,173555
183253,24421,4,8,30
183348,24162,4,130,31
183349,24163,4,130,31
183381,24164,4,130,31
183392,24335,2,0,262156
183516,24160,4,130,31
183545,23967,2,0,173555
183554,23848,2,0,173555
183556,23850,2,0,173555
183570,24407,2,0,173555
183631,25123,2,6430720,0
183640,25288,2,0,173555
183764,23922,4,0,64
183774,27632,2,0,262156
183781,23924,4,0,64
183782,23925,4,0,64
183865,24698,2,0,173555
183910,26019,4,256,30
183918,24018,2,0,3
183931,24167,4,130,31
183932,24168,4,130,31
184038,23921,4,0,64
184056,25351,2,0,173555
184092,25117,2,6430720,0
184093,25118,2,6430720,0
184094,25119,2,6430720,0
184109,25120,2,6430720,0
184173,24149,4,130,31
184239,25083,4,65536,31
184247,26020,4,1024,30
184266,25295,2,0,262156
184431,25086,4,65536,31
184445,25081,4,65536,31
184446,25294,2,0,262156
184514,25084,4,65536,31
184523,25079,4,1024,31
184524,25080,4,1024,31
184530,25082,4,65536,31
184547,25072,4,1024,31
184548,25073,4,1024,31
184549,25074,4,1024,31
184584,25712,2,0,173555
184659,25121,2,6430720,0
184676,25122,2,6430720,0
184692,25078,4,1024,31
184707,25286,2,0,173555
184766,24921,2,0,1024
184840,25710,2,0,173555
184929,27580,2,0,173555
184948,26613,2,0,173555
185015,27093,2,0,175603
185055,27764,4,0,256
185090,27763,4,0,512
185091,27762,4,0,128
185139,26350,2,0,173555
185212,27338,2,0,1024
185229,27611,2,0,173555
185230,26282,2,0,262156
185241,27634,2,0,262156
185296,27584,2,0,173555
185427,26290,2,0,4
185560,27120,4,65536,31
185565,28163,4,130,31
185587,27121,4,65536,31
185602,27122,4,65536,31
185720,28161,4,130,31
185831,27837,2,0,1378
185858,28165,4,130,31
185878,27104,2,0,189939
185908,26743,2,0,175603
185928,27116,4,512,30
185950,27825,2,0,173555
185991,27117,4,0,64
186008,27118,4,65536,31
186009,27119,4,65536,31
186022,27113,4,1024,31
186023,27114,4,1024,31
186024,27115,4,512,30
186052,27102,2,0,189939
186089,27633,2,0,173555
186100,27743,2,0,8
186105,27107,4,1048608,31
186109,27109,4,1024,31
186115,27744,2,0,262144
186122,27108,4,1024,31
186126,26793,2,0,175603
186127,27110,4,1024,31
186128,27111,4,1024,31
186129,27112,4,1024,31
186137,26792,2,0,175603
186179,27615,2,0,173555
186219,30187,4,1024,31
186221,30190,4,1024,31
186249,29082,2,0,42035
186261,29084,2,0,42035
186343,28891,2,0,1097203
186431,29480,4,8,30
186432,29483,4,8,30
186437,30183,2,0,189939
186440,30229,2,0,136546
186537,27991,2,0,173555
186546,29086,2,0,42035
186565,29087,2,0,42035
186566,29088,2,0,42035
186789,28898,2,6430720,0
186884,29415,2,0,262148
186885,29416,2,0,262148
186886,29417,2,0,262148
186887,29418,2,0,262148
186912,29413,2,0,262148
186966,29414,2,0,262148
187031,29475,4,8,30
187039,31016,2,0,173555
210157,27961,4,65536,30
210158,27962,4,65536,30
210160,27964,2,0,189939
210202,26967,2,0,173555
210232,27967,2,0,189939
210233,27968,2,0,58867
210285,27179,4,0,64
210303,27971,2,0,132450
210304,27972,2,0,189939
210310,25225,2,0,173555
210340,26891,2,0,173555
210372,27975,2,0,173555
210374,27977,2,0,132450
210380,25231,2,0,173555
210383,25234,2,0,173555
210425,27186,2,0,173555
210427,27188,2,0,173555
210446,27981,2,0,189939
210447,27982,2,0,189939
210454,25236,2,0,173555
210516,27984,2,0,189939
210525,25241,2,0,173555
210526,25242,2,0,173555
210537,25489,2,0,173555
210563,27065,2,0,262156
210586,27576,2,0,32768
210590,28003,2,0,189939
210591,28004,2,0,189939
210601,25248,2,0,173555
210633,27068,2,0,262156
210655,27899,4,512,30
210656,27905,4,512,30
210657,27906,4,512,30
210659,28013,2,6430720,0
210677,25500,2,0,173555
210680,25504,2,2236416,1228275
210725,27911,4,512,30
210727,28017,2,6430720,0
210735,25258,4,0,64
210744,25505,2,0,173555
210752,26679,2,0,65536
210793,27913,4,512,30
210794,27914,4,512,30
210796,27917,4,512,30
210808,25266,2,0,173555
210811,25269,2,0,173555
210869,27920,4,2048,0
210875,24817,2,0,173555
210876,24824,2,0,173555
210877,24825,2,0,32768
210944,27924,4,2048,0
210946,27926,4,2048,0
210995,27014,2,0,173555
210996,27015,2,0,173555
211018,27441,2,0,32768
211020,27927,4,2048,0
211066,26861,2,0,173555
211071,27016,2,0,262156
211073,27018,2,0,262156
211095,27944,4,0,64
211096,27945,4,0,64
211097,27946,4,0,64
211098,27947,4,0,64
211134,26862,2,0,173555
211135,26863,2,0,32768
211136,26864,2,0,173555
211142,27019,2,0,262156
211143,27020,2,0,262156
211144,27021,2,0,262156
211145,27022,2,0,262156
211165,27948,4,256,30
211167,27950,4,256,30
211168,27951,4,256,30
211174,25208,2,0,173555
211204,26865,2,0,173555
211205,26866,2,0,173555
211233,27954,4,256,30
211240,25212,2,0,173555
211264,26785,2,0,173555
211267,26867,2,0,173555
211301,27957,4,1048608,31
211302,27958,4,1048608,31
211304,27960,4,1048608,31
